hospital_id,name,type,address,city,state,pincode,latitude,longitude,phone,email,website,beds,specialties,operating_hours,emergency_services,ambulance_available,icu_beds,ventilators,oxygen_supply,blood_bank,accreditation,source,timestamp
OSM-50000,Nampalli,Hospital,,,,,16.8862748,78.9608692,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932325
OSM-50001,SREC Health Center,Hospital,,,,,11.1005451,76.9637445,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932338
OSM-50002,Kalaignar Karunanidhi Nagar,Hospital,,,,600078,13.0386493,80.2052158,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932343
OSM-50003,Kasimedu,Hospital,,,,,13.122775,80.2960584,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932347
OSM-50004,Amrit Hospital,Hospital,"New No.310, Mint Street, Sowcarpet",,Tamil Nadu,600079,13.0922007,80.2792912,,,http://www.amrithospital.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932351
OSM-50005,Vikram Hospital,Hospital,,,,,13.0985007,80.2796178,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932353
OSM-50006,City Tower Hospitals,Hospital,"Old No AA-10, New No AA - 85, 2ND-Avenue, Near Roundtana Bus Stop",,Tamil Nadu,600040,13.08438,80.2160862,,info@citytowerhospitals.com,http://www.citytowerhospitals.net/contact.asp,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932357
OSM-50007,Swamy Hospital,Hospital,,,,,12.8550625,77.6642727,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932359
OSM-50008,Clinic,Hospital,,,,,12.9134182,77.6774852,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932360
OSM-50009,Government Hospital,Hospital,"Government Head Quarters Hospital, Ooty, Udhagamandalam, Near Ayyappan Temple",,Tamil Nadu,643001,11.4085627,76.7002627,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932363
OSM-50010,"Apollo Hospitals, Tondiarpet",Hospital,"No.645, TH Road, Tondiarpet",,Tamil Nadu,600081,13.1289367,80.2905623,,enquiry@apollohospitals.com,https://www.apollohospitals.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932366
OSM-50011,K.H.M. Hospital,Hospital,"AB-14/4907, Balasubramanian Building, Opposite Sri Ayyappa Temple, 6th Main Road",,Tamil Nadu,600040,13.0844992,80.2130591,,khmhospital@gmail.com,https://khmhospital.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932369
OSM-50012,Sundaram Medical Foundation,Hospital,"9-C, Shanthi Colony Iv Avenue, Anna Nagar",,Tamil Nadu,600040,13.08217,80.2069819,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932371
OSM-50013,Sri Devi Speciality Hospial,Hospital,"New No.4, Old No.1620-A, 16Th Main Road, Anna Nagar",,Tamil Nadu,600040,13.0887983,80.1994692,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932373
OSM-50014,Govt. Medical College,Hospital,,,,,21.1295149,79.0974689,,,,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932375
OSM-50015,Indira Gandhi Medical College & Hospital,Hospital,,,,,21.1541868,79.0936492,,,,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932377
OSM-50016,Corporation Hospital,Hospital,,,,,13.0336624,80.2572467,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932379
OSM-50017,Shanti Hospital,Hospital,,,,,12.9235041,77.5857517,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932380
OSM-50018,Apollo Hospital,Hospital,"74/1, Bellandur, Ring Road, Varthur","Belandur, Bangalore",Karnataka,560037,12.9263714,77.6765455,8040222555,whitefield@theapolloclinic.com,http://www.apolloclinicbangalore.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932463
OSM-50019,Aravind Ayurvedic Hospital,Hospital,Thirumoolapuram,,Kerala,689115,9.363999,76.5925769,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932468
OSM-50020,Highland Hospital,Hospital,"Highlands, Kankanady, Mangalore",,Karnataka,575002,12.8663995,74.854664,,,,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932471
OSM-50021,"Hindu Mission Health Services, Kanchipuram",Hospital,"Near By Ranga Theatre, Chennai, 100 Feet Road, Hinducolony, Nanagnanllur",Chennai,Tamil Nadu,603209,12.9787682,80.1846471,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932474
OSM-50022,Narayana Hrudayalaya Dental Clinic,Hospital,Outer Ring Road,,,,12.9155759,77.6349897,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932476
OSM-50023,Parvathy Nursing Home,Hospital,"Parvathy Nursing Home, Ooty, Garden Road",,Tamil Nadu,643001,11.4156645,76.7088458,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932478
OSM-50024,Military Hospital,Hospital,,,,,13.0194622,80.1972947,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932480
OSM-50025,Dr Ganesh Medical and Diabetic Clinic,Hospital,,,,,12.9129006,77.6419101,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932482
OSM-50026,"Tamil Nadu Government Dental College & Hospital, Chennai",Hospital,,,,,13.084889,80.2826483,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932484
OSM-50027,Kilpauk Medical College,Hospital,,,,,13.0785984,80.2433369,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932486
OSM-50028,Hariharan Hospital,Hospital,"24 and 26, 'Swathi', 29 Th Street",,Tamil Nadu,600061,12.9847145,80.1905906,,info@hariharanhospitals.com,http://hariharanhospitals.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932488
OSM-50029,BM Hospital,Hospital,5th Main Road,,,,12.9887616,80.1904116,4422670277,,https://bmhospitals.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932492
OSM-50030,K.F. Hospital,Hospital,"5, Sarwamangala Nagar, Nanganallur",,Tamil Nadu,600061,12.973463,80.1841397,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932494
OSM-50031,Cancer Institute,Hospital,,,,,13.0061338,80.239884,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932496
OSM-50032,Sri Ramachandra Medical Centre and Hospital,Hospital,,,,,13.0380979,80.1428047,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932498
